Date,Open,High,Low,Close,Volume,news1,news2,news3
1991-02-04,1.3343,1.3422,1.3301,1.337,2151,0.62854,0.51119,0.47175
1991-02-05,1.3375,1.3426,1.3341,1.3409,1361,0.6285400000000001,0.5111900000000003,0.4717500000000001
1991-02-06,1.3404,1.3512,1.34,1.3492,1361,0.6285400000000001,0.5111900000000001,0.47175000000000006
1991-02-07,1.3495,1.3508,1.3426,1.3442,1111,0.6285400000000001,0.5111900000000001,0.47175000000000006
1991-02-08,1.3442,1.3449,1.3378,1.343,1301,0.6285400000000001,0.5111900000000001,0.4717500000000001
1991-02-11,1.3418,1.355,1.3412,1.3513,1811,0.6285400000000001,0.5111900000000001,0.47175000000000006
1991-02-12,1.3529,1.3529,1.3423,1.3443,1261,0.6285400000000001,0.5111900000000001,0.47175000000000006
1991-02-13,1.3447,1.347,1.3347,1.3369,1681,0.6285400000000001,0.5111900000000001,0.47175
1991-02-14,1.3351,1.3393,1.3303,1.3339,1681,0.6285400000000001,0.5111900000000001,0.4717500000000001
1991-02-15,1.3341,1.336,1.3204,1.3238,2091,0.6285400000000001,0.5111900000000001,0.47175000000000006
1991-02-18,1.3246,1.3263,1.3176,1.3178,1061,0.6285400000000001,0.5111900000000001,0.4717500000000001
1991-02-19,1.3199,1.3221,1.3068,1.3096,2031,0.6285400000000001,0.5111900000000001,0.47174999999999995
1991-02-20,1.3094,1.3147,1.3041,1.3084,2021,0.6285400000000001,0.5111900000000001,0.4717500000000001
1991-02-21,1.3083,1.316,1.3046,1.3101,2101,0.6285400000000001,0.5111900000000001,0.47175000000000006
1991-02-22,1.3104,1.3178,1.2976,1.2991,2911,0.6285400000000001,0.5111900000000001,0.47175000000000006
1991-02-25,1.2955,1.2977,1.2827,1.286,2051,0.6285400000000001,0.5111900000000001,0.47175
1991-02-26,1.2863,1.2969,1.2795,1.2841,3261,0.6285400000000001,0.5111900000000001,0.4717500000000001
1991-02-27,1.2842,1.287,1.2805,1.2851,1211,0.6285400000000001,0.5111900000000001,0.47175000000000006
1991-02-28,1.2854,1.2916,1.2794,1.2829,2191,0.6285400000000001,0.5111900000000001,0.4717500000000001
1991-03-01,1.2822,1.2825,1.2699,1.27,1301,0.6285400000000001,0.5111900000000001,0.47175000000000006
1991-03-04,1.2722,1.277,1.2665,1.2759,1731,0.6285400000000001,0.5111900000000001,0.4778700000000001
1991-03-05,1.2756,1.2833,1.266,1.2682,2721,0.6285400000000001,0.5111900000000001,0.4778700000000002
1991-03-06,1.2681,1.2727,1.2608,1.2719,2001,0.6285400000000001,0.5111900000000001,0.4778700000000001
1991-03-07,1.2719,1.2734,1.2624,1.2651,1521,0.6285400000000001,0.5111900000000001,0.4778700000000002
1991-03-08,1.2653,1.2671,1.2461,1.2466,2331,0.6285400000000001,0.5111900000000001,0.4778700000000001
1991-03-11,1.2417,1.2465,1.2328,1.2374,2311,0.6285400000000001,0.5111900000000001,0.47787000000000013
1991-03-12,1.2381,1.2505,1.2376,1.2483,1561,0.6285400000000001,0.5111900000000001,0.47787
1991-03-13,1.249,1.2503,1.2368,1.245,2301,0.6285400000000001,0.5111900000000001,0.47787000000000013
1991-03-14,1.245,1.2471,1.2336,1.2347,1671,0.6285400000000001,0.5111900000000001,0.47787000000000013
1991-03-15,1.2348,1.2372,1.2156,1.2169,2531,0.6285400000000001,0.5111900000000001,0.47787000000000013
1991-03-18,1.2197,1.2215,1.1943,1.2013,3601,0.6285400000000001,0.5111900000000001,0.4778700000000001
1991-03-19,1.2011,1.2095,1.1699,1.1852,6331,0.6285400000000001,0.5111900000000001,0.47787000000000013
